27 10 2020	12 55	100750	100780	100635	100650
27 10 2020	13 00	100650	100665	100270	100295
27 10 2020	13 05	100300	100470	100265	100440
27 10 2020	13 10	100435	100500	100395	100415
27 10 2020	13 15	100415	100430	100315	100370
27 10 2020	13 20	100365	100410	100310	100355
27 10 2020	13 25	100355	100375	100330	100345
27 10 2020	13 30	100345	100365	100220	100275
27 10 2020	13 35	100275	100300	100190	100275
27 10 2020	13 40	100275	100370	100215	100260
27 10 2020	13 45	100265	100390	100250	100305
27 10 2020	13 50	100310	100340	100240	100320
27 10 2020	13 55	100325	100380	100285	100335
27 10 2020	14 00	100335	100345	100175	100265
27 10 2020	14 05	100260	100280	100200	100205
27 10 2020	14 10	100210	100250	100150	100200
27 10 2020	14 15	100200	100325	100175	100305
27 10 2020	14 20	100305	100350	100285	100345
27 10 2020	14 25	100340	100465	100270	100435
27 10 2020	14 30	100430	100515	100345	100365
27 10 2020	14 35	100370	100380	100290	100345
27 10 2020	14 40	100345	100375	100315	100360
27 10 2020	14 45	100365	100425	100325	100370
27 10 2020	14 50	100375	100400	100335	100355
27 10 2020	14 55	100355	100365	100170	100300
27 10 2020	15 00	100300	100340	100260	100325
27 10 2020	15 05	100320	100350	100215	100230
27 10 2020	15 10	100230	100255	100200	100225
27 10 2020	15 15	100220	100225	99980	100100
27 10 2020	15 20	100100	100170	100030	100035
27 10 2020	15 25	100030	100105	100010	100055
27 10 2020	15 30	100055	100095	100000	100020
27 10 2020	15 35	100025	100025	99835	99925
27 10 2020	15 40	99925	99950	99720	99815
27 10 2020	15 45	99820	99860	99635	99685
27 10 2020	15 50	99685	99705	99500	99655
27 10 2020	15 55	99655	99690	99550	99595
27 10 2020	16 00	99595	99755	99590	99665
27 10 2020	16 05	99670	99700	99635	99665
27 10 2020	16 10	99665	99775	99660	99715
27 10 2020	16 15	99715	99750	99690	99710
27 10 2020	16 20	99715	99780	99675	99745
27 10 2020	16 25	99745	99760	99690	99710
27 10 2020	16 30	99705	99720	99655	99695
27 10 2020	16 35	99700	99785	99680	99765
27 10 2020	16 40	99760	99775	99650	99665
27 10 2020	16 45	99670	99730	99630	99695
27 10 2020	16 50	99700	99705	99530	99695
27 10 2020	16 55	99695	99725	99600	99635
27 10 2020	17 00	99635	99690	99620	99675
27 10 2020	17 05	99675	99690	99655	99685
27 10 2020	17 10	99680	99690	99565	99620
27 10 2020	17 15	99620	99620	99445	99515
27 10 2020	17 20	99520	99595	99485	99545
27 10 2020	17 25	99540	99625	99535	99620
27 10 2020	17 30	99615	99655	99545	99600
27 10 2020	17 35	99600	99605	99500	99570
27 10 2020	17 40	99575	99585	99335	99365
27 10 2020	17 45	99365	99410	99235	99270
27 10 2020	17 50	99275	99325	98770	98945
27 10 2020	18 00	98850	98850	98850	98850
28 10 2020	9 00	98300	98375	98160	98270
28 10 2020	9 05	98275	98350	98145	98200
28 10 2020	9 10	98205	98230	97860	97865
28 10 2020	9 15	97865	98000	97785	97855
28 10 2020	9 20	97850	97865	97525	97565
28 10 2020	9 25	97565	97710	97425	97625
28 10 2020	9 30	97630	97790	97600	97640
28 10 2020	9 35	97640	97670	97465	97485
28 10 2020	9 40	97480	97620	97470	97575
28 10 2020	9 45	97575	97835	97490	97725
28 10 2020	9 50	97720	97825	97705	97805
28 10 2020	9 55	97800	98015	97800	97990
28 10 2020	10 00	97990	98060	97720	97840
28 10 2020	10 05	97845	97945	97615	97735
28 10 2020	10 10	97735	97755	97260	97480
28 10 2020	10 15	97480	97640	97350	97360
28 10 2020	10 20	97360	97360	97065	97230
28 10 2020	10 25	97230	97585	97135	97430
28 10 2020	10 30	97430	97505	97125	97175
28 10 2020	10 35	97170	97520	97090	97515
28 10 2020	10 40	97515	97590	97315	97545
28 10 2020	10 45	97545	97620	97315	97395
28 10 2020	10 50	97395	97420	97150	97165
28 10 2020	10 55	97170	97200	96965	97095
28 10 2020	11 00	97095	97240	96910	97090
28 10 2020	11 05	97090	97245	97010	97080
28 10 2020	11 10	97085	97175	96830	96945
28 10 2020	11 15	96945	97075	96845	96955
28 10 2020	11 20	96955	97025	96745	96830
28 10 2020	11 25	96830	96885	96645	96780
28 10 2020	11 30	96780	96960	96575	96910
28 10 2020	11 35	96915	97000	96740	96765
28 10 2020	11 40	96765	96830	96635	96680
28 10 2020	11 45	96685	96730	96525	96575
28 10 2020	11 50	96575	96650	96510	96580
28 10 2020	11 55	96585	96660	96420	96615
28 10 2020	12 00	96620	96680	96470	96530
28 10 2020	12 05	96530	96870	96525	96810
28 10 2020	12 10	96810	96875	96575	96645
28 10 2020	12 15	96645	96675	96300	96390
28 10 2020	12 20	96390	96515	96335	96450
28 10 2020	12 25	96445	96460	96215	96310
28 10 2020	12 30	96305	96310	96065	96115
28 10 2020	12 35	96115	96345	96090	96315
28 10 2020	12 40	96315	96490	96240	96450
28 10 2020	12 45	96450	96500	96355	96460
28 10 2020	12 50	96460	96740	96415	96675
28 10 2020	12 55	96675	96830	96575	96800
28 10 2020	13 00	96805	96840	96535	96660
28 10 2020	13 05	96655	96795	96625	96730
28 10 2020	13 10	96735	96745	96575	96605
28 10 2020	13 15	96605	96745	96600	96650
28 10 2020	13 20	96650	96660	96485	96540
28 10 2020	13 25	96540	96715	96525	96710
28 10 2020	13 30	96710	96775	96575	96720
28 10 2020	13 35	96720	96760	96545	96620
28 10 2020	13 40	96620	96655	96325	96430
28 10 2020	13 45	96425	96440	96330	96345
28 10 2020	13 50	96345	96455	96285	96395
28 10 2020	13 55	96395	96500	96370	96405
28 10 2020	14 00	96405	96410	96265	96285
28 10 2020	14 05	96285	96395	96255	96340
28 10 2020	14 10	96335	96360	95930	95940
28 10 2020	14 15	95940	96125	95870	96110
28 10 2020	14 20	96105	96110	95965	96055
28 10 2020	14 25	96055	96220	96035	96205
28 10 2020	14 30	96215	96275	96130	96270
28 10 2020	14 35	96270	96360	96240	96280
28 10 2020	14 40	96285	96335	96175	96190
28 10 2020	14 45	96190	96300	96150	96205
28 10 2020	14 50	96205	96430	96160	96410
28 10 2020	14 55	96415	96530	96360	96520
28 10 2020	15 00	96515	96525	96315	96380
28 10 2020	15 05	96380	96465	96330	96345
28 10 2020	15 10	96345	96365	96210	96215
28 10 2020	15 15	96215	96290	96170	96235
28 10 2020	15 20	96240	96365	96205	96340
28 10 2020	15 25	96340	96430	96255	96385
28 10 2020	15 30	96380	96455	96060	96155
28 10 2020	15 35	96150	96165	96000	96025
28 10 2020	15 40	96025	96185	95985	96120
28 10 2020	15 45	96120	96265	96090	96175
28 10 2020	15 50	96175	96220	96075	96100
28 10 2020	15 55	96100	96320	96090	96210
28 10 2020	16 00	96205	96230	96050	96100
28 10 2020	16 05	96105	96235	96070	96160
28 10 2020	16 10	96160	96180	95975	96005
28 10 2020	16 15	96010	96025	95770	95825
28 10 2020	16 20	95825	96015	95790	95975
28 10 2020	16 25	95970	96045	95900	95995
28 10 2020	16 30	95990	96160	95985	96095
28 10 2020	16 35	96100	96110	95730	95760
28 10 2020	16 40	95760	95850	95655	95665
28 10 2020	16 45	95665	95760	95515	95560
28 10 2020	16 50	95560	95600	95465	95510
28 10 2020	16 55	95510	95515	95330	95415
28 10 2020	17 00	95415	95470	95365	95395
28 10 2020	17 05	95400	95445	95300	95320
28 10 2020	17 10	95320	95380	95230	95300
28 10 2020	17 15	95305	95335	95200	95260
28 10 2020	17 20	95265	95265	95160	95200
28 10 2020	17 25	95200	95340	95170	95325
28 10 2020	17 30	95325	95360	95265	95325
28 10 2020	17 35	95320	95335	95280	95295
28 10 2020	17 40	95295	95305	95190	95270
28 10 2020	17 45	95280	95350	95190	95245
28 10 2020	17 50	95245	95350	95135	95345
28 10 2020	18 00	95130	95130	95130	95130
29 10 2020	9 00	95235	95460	94795	95455
29 10 2020	9 05	95445	95580	95315	95510
29 10 2020	9 10	95510	95640	95415	95555
29 10 2020	9 15	95555	95625	95165	95285
29 10 2020	9 20	95285	95480	95145	95470
29 10 2020	9 25	95470	95595	95365	95395
29 10 2020	9 30	95390	95670	95305	95650
29 10 2020	9 35	95655	95835	95615	95685
29 10 2020	9 40	95685	95790	95540	95735
29 10 2020	9 45	95735	95755	95550	95610
29 10 2020	9 50	95605	95660	95550	95620
29 10 2020	9 55	95620	95635	95430	95470
29 10 2020	10 00	95475	95500	95215	95250
29 10 2020	10 05	95250	95255	94955	95025
29 10 2020	10 10	95020	95165	94580	94675
29 10 2020	10 15	94675	94750	94160	94195
29 10 2020	10 20	94195	94295	93880	94135
29 10 2020	10 25	94135	94380	93995	94190
29 10 2020	10 30	94195	94470	94150	94155
29 10 2020	10 35	94155	94330	93960	94020
29 10 2020	10 40	94020	94035	93600	93675
29 10 2020	10 45	93675	93945	93555	93775
29 10 2020	10 50	93775	94440	93740	94430
29 10 2020	10 55	94435	94900	94430	94830
29 10 2020	11 00	94830	95295	94725	95290
29 10 2020	11 05	95285	95320	95035	95060
29 10 2020	11 10	95060	95230	94650	94655
29 10 2020	11 15	94660	95095	94540	95005
29 10 2020	11 20	95000	95270	94865	95190
29 10 2020	11 25	95185	95205	94965	95095
29 10 2020	11 30	95100	95150	94875	94900
29 10 2020	11 35	94900	95185	94830	95160
29 10 2020	11 40	95160	95510	95145	95470
29 10 2020	11 45	95465	95595	95380	95430
29 10 2020	11 50	95435	95570	95390	95485
29 10 2020	11 55	95485	95700	95425	95565
29 10 2020	12 00	95570	95680	95440	95570
29 10 2020	12 05	95565	95675	95460	95475
29 10 2020	12 10	95475	95485	95320	95445
29 10 2020	12 15	95450	95545	95360	95470
29 10 2020	12 20	95470	95550	95365	95415
29 10 2020	12 25	95420	95565	95375	95385
29 10 2020	12 30	95390	95435	95080	95125
29 10 2020	12 35	95125	95130	94900	95100
29 10 2020	12 40	95100	95125	94645	94690
29 10 2020	12 45	94685	94945	94480	94835
29 10 2020	12 50	94835	95035	94760	94895
29 10 2020	12 55	94895	95055	94770	94915
29 10 2020	13 00	94920	95090	94910	95045
29 10 2020	13 05	95040	95245	94985	95225
29 10 2020	13 10	95220	95475	95160	95465
29 10 2020	13 15	95460	95470	95180	95240
29 10 2020	13 20	95245	95270	95005	95145
29 10 2020	13 25	95140	95180	95075	95080
29 10 2020	13 30	95080	95345	95045	95330
29 10 2020	13 35	95330	95565	95270	95525
29 10 2020	13 40	95520	95620	95380	95455
29 10 2020	13 45	95455	95665	95435	95585
29 10 2020	13 50	95590	95765	95490	95690
29 10 2020	13 55	95690	95830	95560	95790
29 10 2020	14 00	95790	95855	95605	95645
29 10 2020	14 05	95640	95675	95540	95555
29 10 2020	14 10	95555	95715	95525	95680
29 10 2020	14 15	95680	95750	95580	95680
29 10 2020	14 20	95675	95950	95560	95925
29 10 2020	14 25	95925	96220	95825	96180
29 10 2020	14 30	96180	96310	96090	96290
29 10 2020	14 35	96290	96375	96225	96340
29 10 2020	14 40	96340	96405	96255	96270
